r	tr	gr	"sl,r"	"su,r"
269	1391.637847	2.34	0.44	0.38
270	1397.386806	2.05	0.42	0.37
271	1403.053125	1.75	0.45	0.38
272	1407.938542	1.99	0.45	0.39
273	1412.824306	1.32	0.55	0.42
274	1417.690972	2.1	0.48	0.4
275	1422.614931	1.97	0.54	0.45
276	1427.676389	1.9	0.41	0.36
277	1432.857639	2.14	0.46	0.39
278	1437.887847	2.07	0.45	0.38
279	1442.821528	2.15	0.43	0.37
280	1447.989583	2.07	0.41	0.35
281	1452.959722	2.66	0.49	0.43
282	1459.433681	1.74	0.33	0.29
283	1467.902778	2.17	0.57	0.47
284	1474.742361	2.72	0.53	0.45
285	1479.091319	1.72	0.44	0.38
286	1484.822569	2.38	0.41	0.36
287	1490.003472	3.01	0.71	0.59
288	1494.354861	2.19	0.55	0.47
289	1500.291319	1.89	0.34	0.3
290	1506.407639	2.46	0.52	0.44
291	1512.290625	2.17	0.36	0.32
292	1519.135069	2.88	0.46	0.41
293	1525.305903	2.13	0.39	0.34
294	1530.504167	1.13	0.48	0.38
295	1536.917014	2.13	0.34	0.3
296	1542.860764	2.44	0.67	0.56
297	1545.746181	1.82	0.66	0.55
298	1551.650347	2.33	0.34	0.31
299	1557.877083	2.77	0.55	0.48
300	1562.005208	2.13	0.48	0.41
301	1566.863542	1.88	0.45	0.38
302	1571.145139	2.9	0.57	0.5
303	1575.579167	2.42	0.46	0.4
304	1582.105903	2.61	0.36	0.33
305	1587.675347	2.22	0.57	0.46
306	1593.670486	2.04	0.33	0.3
307	1599.677778	2.08	0.52	0.43
308	1602.219444	4.23	1.05	0.89
309	1606.046875	2.04	0.4	0.35
310	1611.676736	2.58	0.52	0.45
311	1617.168056	2.43	0.43	0.37
312	1622.651042	2.27	0.46	0.39
313	1627.913194	2.25	0.44	0.38
314	1633.092014	2.58	0.58	0.49
315	1638.415278	2.54	0.42	0.37
316	1642.723611	2.47	0.68	0.56
317	1647.212847	3.01	0.55	0.47
318	1652.094444	1.17	0.42	0.34
319	1658.721875	2.46	0.35	0.32
320	1664.153819	1.87	1.21	0.87
321	1668.185764	2.89	0.43	0.38
322	1675.901736	2.56	0.35	0.31
323	1680.986111	1.7	0.83	0.61
324	1684.129861	2.71	0.59	0.51
325	1688.961806	1.25	0.4	0.34
326	1694.183681	3.55	0.49	0.43
327	1699.6375	2.65	0.44	0.39
328	1704.139931	2.75	0.54	0.46
329	1708.829514	2.74	0.44	0.4
330	1714.389236	2.21	0.4	0.35
331	1719.926389	2.74	0.5	0.44
332	1724.325694	3.45	0.66	0.56
333	1729.032986	1.62	0.42	0.36
334	1734.304167	2.07	0.6	0.48
335	1738.167361	2.29	0.48	0.41
336	1742.085069	3.39	0.58	0.5
337	1750.605208	2.44	0.29	0.27
338	1760.360417	2.75	0.41	0.37
